Asset type,Language,Text,Description line 1,Description line 2,Final URL
Sitelink,EN,Kitchen Remodeling,Refresh or full remodel,Real 2026 price ranges,https://www.zconstructionremodeling.com/services/kitchen-remodeling
Sitelink,EN,Bathroom Remodeling,Walk-in & tiled showers,Waterproofed properly,https://www.zconstructionremodeling.com/services/bathroom-remodeling
Sitelink,EN,Cabinet Painting,Factory-smooth finish,Kitchen back in a week,https://www.zconstructionremodeling.com/services/cabinet-painting
Sitelink,EN,Cost Estimator,Your range in 30 seconds,Kitchens baths & more,https://www.zconstructionremodeling.com/cost-estimator
Sitelink,EN,Our Work,Before & after photos,Auburn & Opelika,https://www.zconstructionremodeling.com/our-work
Sitelink,EN,Hablamos Español,Todo en español,Presupuesto gratis,https://www.zconstructionremodeling.com/es
Sitelink,EN,Rental Turnovers,For Auburn landlords,Photo updates included,https://www.zconstructionremodeling.com/services/rental-turnovers
Sitelink,EN,Free Quote,Written estimate,Reply in 1 business day,https://www.zconstructionremodeling.com/contact
Sitelink,ES,Remodelación de Baños,Regaderas y azulejo,Presupuesto gratis,https://www.zconstructionremodeling.com/es/servicios/remodelacion-de-banos
Sitelink,ES,Remodelación de Cocinas,Gabinetes y cubiertas,Todo por escrito,https://www.zconstructionremodeling.com/es/servicios/remodelacion-de-cocinas
Sitelink,ES,Calculadora de Costos,Su rango en 30 segundos,Precios 2026,https://www.zconstructionremodeling.com/es/calculadora-de-costos
Sitelink,ES,Pida su Cotización,Le respondemos pronto,En español,https://www.zconstructionremodeling.com/es/contacto
Callout,EN,Free Written Estimates,,,
Callout,EN,Owner on Every Job,,,
Callout,EN,Licensed & Insured,,,
Callout,EN,Bilingual EN/ES Crew,,,
Callout,EN,Family-Owned in Auburn,,,
Callout,EN,Permits Handled,,,
Callout,ES,Presupuesto Gratis,,,
Callout,ES,Atención en Español,,,
Callout,ES,Con Licencia y Seguro,,,
Callout,ES,Empresa Familiar,,,
Structured snippet (Services),EN,Kitchens; Bathrooms; Additions; Painting; Cabinets; Flooring; Repairs; Rentals,,,
Structured snippet (Servicios),ES,Cocinas; Baños; Ampliaciones; Pintura; Gabinetes; Pisos; Reparaciones,,,
